,none,E2,E3,E4,I2
544,5.0,1.0,2.0,2.0,8.0
545,4.0,2.0,3.0,4.0,13.0
546,3.0,2.0,3.0,3.0,7.0
547,4.0,2.0,3.0,3.0,8.0
548,4.0,1.0,2.0,2.0,14.0
549,4.0,1.0,3.0,3.0,15.0
550,3.0,1.0,3.0,2.0,8.0
551,4.0,2.0,2.0,2.0,8.0
552,4.0,1.0,3.0,4.0,14.0
553,3.0,2.0,2.0,2.0,4.0
554,2.0,1.0,2.0,2.0,2.0
555,4.0,1.0,3.0,5.0,18.0
556,4.0,1.0,3.0,3.0,15.0
557,2.0,2.0,2.0,2.0,7.0
558,2.0,2.0,2.0,2.0,4.0
559,4.0,2.0,3.0,3.0,8.0
560,4.0,1.0,2.0,2.0,102.0
561,5.0,2.0,3.0,3.0,7.0
562,3.0,2.0,3.0,2.0,10.0
563,6.0,8.0,3.0,5.0,17.0
564,5.0,2.0,2.0,3.0,30.0
565,4.0,1.0,2.0,3.0,77.0
566,5.0,1.0,3.0,3.0,9.0
567,5.0,2.0,3.0,2.0,20.0
568,4.0,4.0,3.0,2.0,8.0
569,5.0,7.0,3.0,5.0,25.0
570,2.0,2.0,2.0,2.0,7.0
571,9.0,4.0,3.0,5.0,33.0
572,6.0,1.0,3.0,3.0,30.0
573,4.0,2.0,3.0,3.0,25.0
574,4.0,1.0,3.0,2.0,12.0
575,4.0,2.0,2.0,2.0,8.0
576,3.0,2.0,3.0,3.0,10.0
577,3.0,2.0,2.0,2.0,8.0
578,4.0,2.0,3.0,2.0,6.0
579,5.0,1.0,3.0,2.0,10.0
580,4.0,2.0,3.0,3.0,7.0
581,14.0,7.0,3.0,7.0,76.0
582,6.0,3.0,3.0,5.0,13.0
583,5.0,2.0,3.0,3.0,10.0
584,4.0,2.0,3.0,2.0,8.0
585,2.0,2.0,2.0,2.0,6.0
586,1.0,1.0,2.0,2.0,8.0
587,2.0,1.0,2.0,2.0,8.0
588,2.0,2.0,2.0,2.0,8.0
589,10.0,9.0,3.0,5.0,41.0
590,6.0,1.0,3.0,5.0,89.0
591,5.0,6.0,3.0,3.0,14.0
592,6.0,3.0,3.0,5.0,32.0
593,4.0,1.0,2.0,2.0,9.0
594,3.0,2.0,2.0,2.0,4.0
595,5.0,3.0,3.0,5.0,22.0
596,4.0,2.0,2.0,2.0,14.0
597,5.0,2.0,3.0,4.0,29.0
598,5.0,2.0,3.0,4.0,34.0
599,6.0,1.0,3.0,5.0,27.0
600,5.0,2.0,3.0,5.0,15.0
