,none,E1,E2,I1
576,3.0,2.0,2.0,3.0
577,2.0,1.0,0.0,2.0
578,2.0,2.0,1.0,2.0
579,4.0,2.0,1.0,5.0
580,3.0,2.0,1.0,3.0
581,3.0,2.0,1.0,3.0
582,4.0,2.0,1.0,6.0
583,2.0,1.0,0.0,3.0
584,2.0,0.0,1.0,2.0
585,3.0,2.0,1.0,2.0
586,2.0,1.0,1.0,2.0
587,2.0,1.0,0.0,2.0
588,2.0,1.0,0.0,2.0
589,5.0,2.0,1.0,6.0
590,2.0,0.0,0.0,3.0
591,2.0,2.0,0.0,3.0
592,3.0,2.0,1.0,3.0
593,2.0,2.0,1.0,4.0
594,3.0,2.0,2.0,3.0
595,3.0,1.0,2.0,3.0
596,2.0,2.0,1.0,3.0
597,3.0,2.0,1.0,2.0
598,3.0,2.0,1.0,2.0
599,2.0,0.0,0.0,3.0
600,3.0,1.0,1.0,2.0
601,3.0,2.0,1.0,3.0
602,3.0,1.0,1.0,2.0
603,2.0,2.0,1.0,2.0
604,3.0,2.0,1.0,3.0
605,2.0,1.0,0.0,2.0
606,4.0,2.0,1.0,6.0
607,2.0,3.0,2.0,2.0
608,2.0,2.0,1.0,2.0
609,2.0,1.0,0.0,2.0
610,2.0,1.0,0.0,2.0
611,2.0,0.0,0.0,2.0
612,2.0,2.0,2.0,2.0
613,4.0,2.0,2.0,4.0
614,2.0,2.0,1.0,2.0
615,2.0,1.0,0.0,2.0
616,2.0,0.0,0.0,2.0
617,5.0,2.0,2.0,5.0
618,2.0,2.0,1.0,3.0
619,3.0,2.0,1.0,3.0
620,2.0,1.0,0.0,2.0
621,3.0,2.0,1.0,3.0
622,5.0,2.0,1.0,5.0
623,3.0,2.0,1.0,2.0
624,3.0,2.0,1.0,3.0
625,3.0,2.0,1.0,4.0
626,4.0,1.0,1.0,4.0
627,2.0,2.0,1.0,3.0
628,5.0,2.0,1.0,5.0
629,5.0,2.0,1.0,4.0
630,2.0,1.0,0.0,2.0
