w_idx,pt_root_id,body_part_effector,body_part_sensory,cell_class,cell_function,cell_function_detailed,cell_sub_class,cell_type,fafb_783_cell_type,fafb_783_match_id,fanc_1116_cell_type,fanc_1116_match_id,flow,hemibrain_121_cell_type,hemibrain_121_match_id,hemilineage,manc_121_cell_type,manc_121_match_id,nerve,neuropeptide_verified,neurotransmitter_predicted,neurotransmitter_verified,other_names,peripheral_target_type,region,side,super_class
2734,720575941545123589,,,ascending_neuron,,,,AN23B003,AN_GNG_81,id:720575940636004975,,,intrinsic,,,23B,AN23B003,id:153076,,,acetylcholine,acetylcholine,,,neck_connective,right,ascending
2735,720575941545143688,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN03A066,,,,,intrinsic,,,03A,IN03A066,id:20328,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2736,720575941545195656,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN07B066,,,,,intrinsic,,,07B,IN07B066,id:21437,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2737,720575941545205253,,front_leg,hair_plate_neuron,proprioception,joint_angle,front_leg_hair_plate_neuron,SNpp45,,,,,afferent,,,,SNpp45,id:172221,right_prothoracic_leg_nerve,,gaba,,,hair_plate,ventral_nerve_cord,right,sensory
2738,720575941545273861,,,descending_neuron,,,,DNpe054,DNpe054,id:720575940603580960,,,intrinsic,,,PSp2,DNut042,id:36468,,,acetylcholine,,,,neck_connective,left,descending
2739,720575941545312005,,,descending_neuron,,,,DNp22,DNp22,id:720575940631225996,,,intrinsic,,,putative_primary,DNp22,id:11012,,,acetylcholine,,,,neck_connective,right,descending
2740,720575941545340296,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN04B081,,,,,intrinsic,,,04B,IN04B081,id:17584,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2741,720575941545355625,,,single_leg_neuromere,,,ventral_nerve_cord_contralateral_restricted,IN12B074,,,,,intrinsic,,,12B,IN12B074,id:15899,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2742,720575941545418501,,,descending_neuron,,,,DNg67,DNg67,id:720575940632877869,,,intrinsic,,,putative_primary,DNg67,id:37992,,,acetylcholine,,,,neck_connective,left,descending
2743,720575941545432425,,,descending_neuron,,,,DNb08,DNb08,id:720575940621068464,,,intrinsic,,,putative_primary,DNb08,id:14680,,,acetylcholine,,,,neck_connective,right,descending
2744,720575941545438057,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN17A065,,,,,intrinsic,,,17A,IN17A065,id:17385,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2745,720575941545449065,,front_leg,chordotonal_organ_neuron,proprioception,position,front_leg_claw_chordotonal_organ_neuron,SNpp50,,,,,afferent,,,,SNpp50,id:163745,left_prothoracic_leg_nerve,,gaba,acetylcholine,claw,chordotonal_organ,ventral_nerve_cord,left,sensory
2746,720575941545471593,,,ventral_nerve_cord_dorsal,,,ventral_nerve_cord_bilateral_interconnecting,IN11A021,,,,,intrinsic,,,11A,IN11A021,id:164377,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2747,720575941545479868,front_leg,,leg_motor_neuron,leg_motor,flex_coxa_trochanter_joint,front_leg_motor_neuron,accessory_trochanter_flexor,,,,,efferent,,,TBD,Acc. tr flexor MN,id:23048,left_prothoracic_leg_nerve,,,,,accessory_trochanter_flexor_muscle,ventral_nerve_cord,left,motor
2748,720575941545487365,,,ascending_neuron,,,,ANXXX082,AN_AVLP_41,id:720575940621163802,,,intrinsic,,,TBD,ANXXX082,id:11886,,,acetylcholine,,,,neck_connective,left,ascending
