,none,E1,E2,I2
619,8.0,1.0,1.0,12.0
620,9.0,3.0,3.0,12.0
621,8.0,1.0,1.0,13.0
622,8.0,2.0,1.0,12.0
623,9.0,4.0,1.0,11.0
624,10.0,5.0,2.0,11.0
625,8.0,3.0,1.0,14.0
626,9.0,6.0,3.0,14.0
627,9.0,4.0,2.0,14.0
628,6.0,6.0,2.0,14.0
629,7.0,8.0,7.0,19.0
630,8.0,8.0,4.0,23.0
631,8.0,6.0,4.0,16.0
632,9.0,5.0,2.0,14.0
633,10.0,8.0,3.0,14.0
634,12.0,6.0,2.0,16.0
635,7.0,7.0,4.0,23.0
636,7.0,5.0,2.0,19.0
637,9.0,3.0,1.0,13.0
638,8.0,4.0,1.0,11.0
639,7.0,7.0,3.0,18.0
640,8.0,1.0,1.0,14.0
641,9.0,3.0,1.0,12.0
642,8.0,5.0,3.0,12.0
643,8.0,6.0,2.0,15.0
644,10.0,6.0,3.0,13.0
645,7.0,2.0,2.0,13.0
646,7.0,7.0,4.0,15.0
647,9.0,2.0,1.0,13.0
648,7.0,1.0,1.0,13.0
649,9.0,2.0,1.0,13.0
650,9.0,6.0,1.0,18.0
651,8.0,2.0,1.0,13.0
652,8.0,4.0,1.0,13.0
653,7.0,5.0,2.0,13.0
654,8.0,5.0,3.0,17.0
655,9.0,4.0,2.0,16.0
656,9.0,6.0,3.0,16.0
657,9.0,1.0,1.0,11.0
658,7.0,6.0,2.0,14.0
659,12.0,7.0,2.0,15.0
660,7.0,5.0,2.0,15.0
661,10.0,6.0,3.0,14.0
662,9.0,4.0,2.0,14.0
663,8.0,5.0,2.0,14.0
664,9.0,5.0,1.0,12.0
665,7.0,3.0,1.0,12.0
666,8.0,2.0,1.0,13.0
667,9.0,2.0,1.0,11.0
668,9.0,3.0,1.0,12.0
669,7.0,3.0,2.0,15.0
670,7.0,6.0,2.0,12.0
671,8.0,4.0,1.0,12.0
672,9.0,4.0,2.0,15.0
673,8.0,3.0,2.0,17.0
674,8.0,3.0,1.0,12.0
675,8.0,10.0,6.0,21.0
676,9.0,6.0,1.0,17.0
677,8.0,6.0,1.0,13.0
678,7.0,1.0,1.0,10.0
679,11.0,4.0,1.0,12.0
680,7.0,2.0,1.0,12.0
681,10.0,8.0,6.0,21.0
682,8.0,7.0,3.0,22.0
683,8.0,5.0,1.0,11.0
684,8.0,7.0,3.0,15.0
685,7.0,6.0,4.0,15.0
686,8.0,4.0,1.0,11.0
687,10.0,7.0,4.0,17.0
688,8.0,6.0,2.0,13.0
689,7.0,4.0,2.0,12.0
690,7.0,5.0,2.0,19.0
691,7.0,5.0,3.0,12.0
692,10.0,5.0,4.0,13.0
693,10.0,5.0,2.0,14.0
694,12.0,4.0,1.0,13.0
695,10.0,5.0,1.0,12.0
696,8.0,2.0,2.0,11.0
697,7.0,4.0,4.0,18.0
698,10.0,5.0,2.0,15.0
699,8.0,3.0,2.0,14.0
700,9.0,2.0,1.0,13.0
701,9.0,5.0,3.0,15.0
702,8.0,2.0,1.0,13.0
703,9.0,5.0,3.0,21.0
704,11.0,5.0,2.0,15.0
705,8.0,3.0,2.0,12.0
706,8.0,6.0,2.0,16.0
707,7.0,7.0,4.0,19.0
708,9.0,5.0,2.0,14.0
709,7.0,2.0,1.0,13.0
710,9.0,3.0,1.0,15.0
711,9.0,2.0,1.0,12.0
712,7.0,6.0,2.0,13.0
713,8.0,1.0,1.0,13.0
714,16.0,2.0,2.0,14.0
715,9.0,3.0,1.0,12.0
716,7.0,6.0,3.0,17.0
717,8.0,8.0,5.0,18.0
718,10.0,7.0,2.0,15.0
719,8.0,5.0,3.0,13.0
720,9.0,3.0,1.0,12.0
721,9.0,4.0,1.0,13.0
722,8.0,3.0,1.0,12.0
