,MANC,FANC,mCNS,BANC
539,6.0,11.0,14.0,5.0
540,2.0,11.0,17.0,5.0
541,4.0,12.0,19.0,3.0
542,5.0,13.0,13.0,5.0
543,4.0,11.0,15.0,4.0
544,5.0,10.0,16.0,3.0
545,4.0,12.0,18.0,4.0
546,3.0,11.0,18.0,3.0
547,4.0,10.0,18.0,4.0
548,4.0,11.0,16.0,5.0
549,4.0,11.0,19.0,4.0
550,3.0,12.0,19.0,6.0
551,4.0,11.0,13.0,4.0
552,4.0,11.0,16.0,7.0
553,3.0,11.0,12.0,3.0
554,2.0,11.0,15.0,4.0
555,4.0,10.0,18.0,4.0
556,4.0,10.0,14.0,7.0
557,2.0,10.0,17.0,5.0
558,2.0,10.0,17.0,3.0
559,4.0,12.0,15.0,4.0
560,4.0,11.0,12.0,4.0
561,5.0,10.0,18.0,3.0
562,3.0,13.0,18.0,4.0
563,6.0,13.0,17.0,5.0
564,5.0,11.0,16.0,3.0
565,4.0,12.0,18.0,7.0
566,5.0,10.0,18.0,4.0
567,5.0,10.0,19.0,5.0
568,4.0,11.0,17.0,5.0
569,5.0,11.0,17.0,5.0
570,2.0,10.0,19.0,5.0
571,9.0,11.0,19.0,4.0
572,6.0,10.0,15.0,4.0
573,4.0,13.0,15.0,4.0
574,4.0,10.0,15.0,5.0
575,4.0,11.0,15.0,4.0
576,3.0,12.0,17.0,4.0
577,3.0,13.0,17.0,4.0
578,4.0,11.0,19.0,4.0
579,5.0,13.0,18.0,3.0
580,4.0,11.0,16.0,3.0
581,14.0,12.0,16.0,4.0
582,6.0,10.0,17.0,5.0
583,5.0,12.0,16.0,6.0
584,4.0,10.0,18.0,5.0
585,2.0,11.0,15.0,4.0
586,1.0,12.0,17.0,4.0
587,2.0,12.0,17.0,5.0
588,2.0,12.0,17.0,6.0
589,10.0,12.0,19.0,5.0
590,6.0,12.0,16.0,4.0
591,5.0,11.0,15.0,6.0
592,6.0,10.0,17.0,4.0
593,4.0,10.0,16.0,4.0
594,3.0,11.0,18.0,4.0
595,5.0,10.0,13.0,4.0
596,4.0,8.0,20.0,5.0
597,5.0,10.0,17.0,5.0
598,5.0,13.0,18.0,5.0
599,6.0,11.0,17.0,6.0
600,5.0,10.0,14.0,4.0
601,1.0,10.0,19.0,5.0
602,2.0,8.0,16.0,4.0
603,4.0,10.0,19.0,4.0
604,3.0,11.0,17.0,4.0
605,3.0,10.0,20.0,3.0
606,3.0,11.0,17.0,7.0
607,4.0,10.0,15.0,7.0
608,4.0,12.0,15.0,5.0
609,4.0,12.0,17.0,5.0
610,3.0,11.0,19.0,4.0
611,5.0,10.0,22.0,3.0
612,2.0,12.0,16.0,6.0
613,4.0,11.0,14.0,3.0
614,2.0,9.0,12.0,6.0
615,11.0,9.0,15.0,4.0
616,2.0,11.0,16.0,4.0
617,5.0,11.0,18.0,6.0
618,1.0,10.0,14.0,4.0
619,4.0,0.0,17.0,5.0
620,5.0,11.0,13.0,4.0
621,2.0,11.0,14.0,4.0
622,4.0,11.0,16.0,4.0
623,5.0,10.0,17.0,7.0
624,4.0,10.0,15.0,3.0
625,7.0,12.0,20.0,2.0
626,4.0,10.0,16.0,5.0
627,1.0,12.0,19.0,7.0
628,6.0,10.0,14.0,6.0
629,4.0,11.0,17.0,5.0
630,5.0,12.0,18.0,4.0
631,6.0,11.0,16.0,4.0
632,3.0,10.0,17.0,3.0
633,5.0,12.0,17.0,7.0
634,5.0,12.0,15.0,5.0
635,5.0,10.0,20.0,3.0
636,5.0,10.0,15.0,3.0
637,4.0,10.0,19.0,5.0
638,1.0,11.0,19.0,5.0
639,4.0,14.0,18.0,3.0
640,5.0,11.0,19.0,7.0
641,4.0,13.0,18.0,4.0
642,4.0,10.0,20.0,4.0
643,4.0,11.0,16.0,6.0
644,3.0,10.0,16.0,5.0
645,4.0,11.0,15.0,4.0
646,4.0,10.0,15.0,5.0
647,5.0,9.0,17.0,4.0
648,5.0,13.0,17.0,4.0
649,2.0,13.0,16.0,3.0
650,4.0,10.0,12.0,4.0
651,4.0,12.0,18.0,6.0
652,6.0,10.0,18.0,4.0
653,3.0,11.0,16.0,4.0
654,5.0,11.0,17.0,4.0
655,5.0,13.0,18.0,3.0
656,4.0,9.0,18.0,6.0
657,8.0,10.0,16.0,4.0
658,3.0,11.0,18.0,6.0
659,7.0,13.0,15.0,6.0
660,3.0,12.0,17.0,5.0
661,13.0,12.0,17.0,3.0
662,7.0,14.0,18.0,4.0
663,1.0,11.0,19.0,7.0
664,2.0,11.0,15.0,4.0
665,2.0,10.0,14.0,4.0
666,4.0,12.0,15.0,5.0
667,3.0,12.0,19.0,4.0
668,4.0,9.0,16.0,4.0
669,4.0,11.0,15.0,4.0
670,4.0,11.0,18.0,2.0
671,3.0,14.0,14.0,4.0
672,8.0,11.0,22.0,5.0
673,1.0,12.0,17.0,4.0
674,3.0,11.0,19.0,4.0
675,4.0,10.0,14.0,4.0
676,4.0,13.0,18.0,4.0
677,7.0,11.0,17.0,5.0
678,2.0,11.0,18.0,3.0
679,5.0,12.0,16.0,4.0
680,4.0,10.0,18.0,4.0
681,4.0,11.0,14.0,5.0
682,3.0,11.0,15.0,5.0
683,5.0,11.0,14.0,5.0
684,5.0,13.0,16.0,4.0
685,1.0,10.0,17.0,3.0
686,2.0,11.0,17.0,5.0
687,2.0,9.0,12.0,3.0
688,5.0,9.0,19.0,5.0
689,2.0,11.0,20.0,4.0
690,4.0,13.0,18.0,6.0
691,5.0,13.0,17.0,3.0
692,3.0,11.0,19.0,3.0
693,2.0,12.0,19.0,5.0
694,5.0,10.0,19.0,5.0
695,5.0,11.0,15.0,7.0
696,5.0,10.0,20.0,4.0
697,1.0,12.0,17.0,4.0
698,1.0,11.0,16.0,5.0
699,3.0,12.0,18.0,5.0
700,5.0,8.0,18.0,5.0
701,4.0,11.0,12.0,5.0
702,4.0,10.0,18.0,3.0
703,4.0,10.0,15.0,5.0
704,8.0,8.0,17.0,6.0
705,4.0,11.0,14.0,4.0
706,7.0,11.0,19.0,3.0
707,7.0,13.0,15.0,5.0
708,5.0,12.0,16.0,4.0
709,3.0,11.0,18.0,4.0
710,4.0,11.0,17.0,5.0
711,4.0,10.0,16.0,4.0
712,4.0,12.0,17.0,5.0
713,3.0,12.0,16.0,4.0
714,2.0,10.0,18.0,6.0
715,1.0,10.0,18.0,4.0
716,5.0,10.0,19.0,6.0
717,5.0,10.0,15.0,4.0
718,1.0,11.0,22.0,4.0
719,4.0,11.0,17.0,4.0
720,5.0,15.0,16.0,6.0
721,4.0,11.0,17.0,4.0
722,5.0,11.0,20.0,4.0
723,3.0,11.0,18.0,4.0
724,5.0,11.0,16.0,3.0
725,2.0,12.0,17.0,4.0
726,4.0,11.0,14.0,5.0
727,4.0,11.0,15.0,4.0
728,4.0,10.0,20.0,5.0
729,5.0,11.0,19.0,5.0
730,4.0,12.0,15.0,4.0
731,4.0,11.0,16.0,7.0
732,5.0,10.0,18.0,4.0
733,1.0,14.0,13.0,6.0
734,4.0,10.0,16.0,4.0
735,6.0,11.0,22.0,4.0
736,4.0,11.0,20.0,4.0
737,5.0,11.0,18.0,5.0
738,5.0,10.0,16.0,5.0
739,4.0,11.0,16.0,5.0
740,4.0,11.0,18.0,4.0
741,4.0,13.0,19.0,4.0
742,3.0,11.0,18.0,4.0
743,3.0,10.0,19.0,3.0
744,5.0,11.0,15.0,3.0
745,4.0,12.0,14.0,4.0
746,5.0,9.0,19.0,4.0
747,5.0,11.0,17.0,4.0
748,4.0,10.0,16.0,4.0
749,5.0,10.0,17.0,4.0
750,3.0,11.0,22.0,4.0
751,5.0,13.0,17.0,4.0
752,4.0,11.0,17.0,4.0
753,4.0,12.0,17.0,4.0
754,5.0,13.0,18.0,4.0
755,4.0,10.0,18.0,4.0
756,2.0,12.0,17.0,3.0
757,5.0,12.0,16.0,3.0
758,6.0,11.0,17.0,3.0
759,1.0,11.0,19.0,4.0
760,4.0,11.0,16.0,4.0
761,1.0,10.0,17.0,4.0
762,6.0,11.0,17.0,5.0
763,4.0,11.0,17.0,6.0
764,2.0,13.0,17.0,3.0
765,5.0,11.0,14.0,5.0
766,5.0,13.0,15.0,4.0
767,4.0,10.0,18.0,4.0
768,4.0,10.0,18.0,5.0
769,5.0,12.0,18.0,4.0
770,5.0,11.0,17.0,4.0
